brand,name,price
富士通 FUJITSU,FMVF60G3WC [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i5-1135G7/メモリ 16GB/SSD 256GB ＋ HDD 1TB/Sマルチ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト/ヨドバシカメラ限定モデル],"￥199,800"
マウスコンピューター mouse computer,DGI7G6TYC25CNHW3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/GeForce RTX 4060 Ti/メモリ 32GB/SSD 500GB/Windows11 Home/ホワイト],"￥284,800"
レノボ･ジャパン Lenovo,90V70044JM [ゲーミングデスクトップパソコン/LegionTower 7i Gen8/Corei7-13700KF/GeForce RTX4080/メモリ 32GB/HDD2TB＋SSD2TB/Windows 11 Home/グレー],"￥550,000"
ガレリア GALLERIA,RR536T-1500-YC31-1 [ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/RTX 3060Ti/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥269,980"
マウスコンピューター mouse computer,GTMPCM127G307P22H [ゲーミングデスクトップパソコン/Core i7/メモリ 16GB/SSD 1TB （NVMe）/HDD 4TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows11 Pro],"￥389,800"
デル DELL,DA90-CWLCB [ゲーミングデスクトップ/Alienware Aurora R13/Core i7-12700KF/メモリ 32GB/SSD 512GB＋HDD 2TB/Windows 11 Home/ダークグレー],"￥435,380"
マウスコンピューター mouse computer,GTSPCMI127G306P22H [スリムゲーミングデスクトップパソコン/Core i7/メモリ 16GB/SSD 1TB （NVMe）/HDD 1TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows11 Pro],"￥329,800"
レノボ･ジャパン Lenovo,90SM0060JP [デスクトップPC/ IdeaCentre 370i/ Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /グレー],"￥82,280"
ECS イーシーエス,LIVAQ3P-4/64-W10Pro（R1505G） [小型デスクトップパソコン/Ryzen Embedded R1505G/メモリ 4GB/eMMC 64GB/Windows 10 Pro],"￥66,480"
ECS イーシーエス,LIVAZ3-8/128-W10IoT（N6000） [小型デスクトップパソコン/Pentium N6000/メモリ 8GB/eMMC 128GB/Windows 10 IoT Enterprise LTSC],"￥69,780"
ECS イーシーエス,LIVAZ3-4/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 4GB/eMMC 64GB/Windows 11 Pro],"￥51,780"
ECS イーシーエス,LIVAZ3-4/64-W11Pro（N4500） [小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64GB/Windows 11 Pro],"￥50,560"
アップル Apple,Apple Mac Studio Apple M2 Maxチップ カスタマイズモデル（CTO）,"￥326,800"
HP,8L9K7PA-AAAE [ゲーミングデスクトップパソコン/Victus 15L Gaming TG02-1000 G1モデル/Core i5-13400F/RTX 4060/メモリ 16GB/SSD 512GB/Windows 11 Home/マイカシルバー],"￥189,800"
MSI エムエスアイ,PRO DP180 14-265JP [高性能デスクトップPC/Core i5-14400/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥121,010"
MSI エムエスアイ,MAG Codex 6 14NUC5-067JP [ゲーミングデスクトップPC/Core i5-14400F/GeForce RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥200,000"
アップル Apple,Apple Mac Pro Apple M2 Ultraチップ カスタマイズモデル（CTO）,"￥1,048,800"
レノボ･ジャパン Lenovo,90VT005AJP [デスクトップパソコン IdeaCentre 3i Gen8/Corei5-13400/メモリ 8GB（4GB×2）/SSD 512GB/Windows11 Home/グレー],"￥114,180"
マウスコンピューター mouse computer,FXI9G90YC42DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i9-14900KF/RTX 4090/メモリ 64GB/SSD 2TB/Windows 11 Pro],"￥684,800"
レノボ･ジャパン Lenovo,90VT005BJP [デスクトップパソコン IdeaCentre 3i Gen8/Corei7-13700/メモリ 16GB（8GB×2）/SSD 1TB/Windows11 Home/グレー],"￥175,780"
アップル Apple,Apple Mac Studio Apple M2 Ultraチップ カスタマイズモデル（CTO）,"￥654,800"
MSI エムエスアイ,Trident X2 14NUF7-293JP [ミドルハイクラスゲーミングPC/Core i7-14700KF/GeForce RTX 4070 Ti/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥547,800"
マックスタン MAXTANG,MTN-ALN50-8/256-W11Pro（N305）WB [法人向けミニPC/Core i3-N305/メモリ 8GB/SSD 256GB/Windows 11 Pro/ブラック],"￥78,370"
ECS イーシーエス,LIVAZ3-4/64-W10IoT（N4500） [小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC],"￥56,890"
マウスコンピューター mouse computer,FXI7G7SYC42DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i7-14700KF/RTX 4070 SUPER/メモリ 64GB/SSD 2TB/Windows 11 Pro],"￥459,800"
マウスコンピューター mouse computer,LHI7U01YC61DNPB3 [ビジネス向けデスクトップパソコン/Core i7-14700/メモリ 16GB/SSD 1TB/Windows 11 Pro],"￥184,800"
マックスタン MAXTANG,MTN-AL50-16/512-W11Pro（1260P）WB [法人向けミニPC/Corei7-1260P/メモリ 16GB/SSD 512GB/Windows 11 Pro/ブラック],"￥122,120"
マックスタン MAXTANG,MUC5095-8/128-W10IoT（N5095）WB [法人向けミニPC/N5095/メモリ 8GB/SSD 128GB/Windows 10 IoT/ブラック],"￥48,290"
マックスタン MAXTANG,NX-N100-8/128-W10IoT（N100）WB [法人向けミニPC/N100/メモリ 8GB/SSD 128GB/Windows 10 IoT/ブラック],"￥57,580"
マウスコンピューター mouse computer,FXI9G8SYC42DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i9-14900KF/RTX 4080 SUPER/メモリ 64GB/SSD 2TB/Windows 11 Pro],"￥594,800"
マウスコンピューター mouse computer,FXI9G8SYC22DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i9-14900KF/RTX 4080 SUPER/メモリ 32GB/SSD 2TB/Windows 11 Pro],"￥564,800"
マウスコンピューター mouse computer,FXI7G8SYC42DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i7-14700KF/RTX 4080 SUPER/メモリ 64GB/SSD 2TB/Windows 11 Pro],"￥559,800"
マウスコンピューター mouse computer,FXI7G8SYC22DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i7-14700KF/RTX 4080 SUPER/メモリ 32GB/SSD 2TB/Windows 11 Pro],"￥529,800"
マウスコンピューター mouse computer,FXI9G7SYC42DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i9-14900KF/RTX 4070 SUPER/メモリ 64GB/SSD 2TB/Windows 11 Pro],"￥494,800"
マウスコンピューター mouse computer,FXI9G7SYC22DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i9-14900KF/RTX 4070 SUPER/メモリ 32GB/SSD 2TB/Windows 11 Pro],"￥464,800"
マウスコンピューター mouse computer,FXI7G7SYC22DNPB3 [DAIV クリエイター向けデスクトップパソコン/Core i7-14700KF/RTX 4070 SUPER/メモリ 32GB/SSD 2TB/Windows 11 Pro],"￥429,800"
