brand,name,price
デル DELL,DI70-DNLC [Inspiron 3020 デスクトップ/Core i7-13700/GeForce RTX 3050/メモリ 16GB/SSD 512GB+HDD 1TB/Windows 11 Home/ブラック],"￥239,800"
HP,892V6PA-AABC [デスクトップパソコン/HP Desktop M01-F2000 G1モデル/Core i5-12400/メモリ 8GB/SSD 256GB/Windows 11 Home/ジェットブラック],"￥97,800"
デル DELL,AI537-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥149,800"
マウスコンピューター mouse computer,LHI7U01YC21DNHB3 [ビジネス向けデスクトップパソコン/Core i7-14700/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥184,800"
デル DELL,SI30-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i3-13100/UHD グラフィックス/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥97,800"
マウスコンピューター mouse computer,LHI7U01YC21DNPB3 [ビジネス向けデスクトップパソコン/Core i7-14700/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥199,800"
エイスース ASUS,S500SD-G7400LU [デスクトップパソコン/Pentium Gold G7400/メモリ 8GB/SSD 256GB/Windows 11 Home/WPS Office2 Standard Edition/ブラック],"￥84,800"
エイスース ASUS,M3702WFAK-WA063W [デスクトップパソコン/27.0型/Ryzen 5 7520U/メモリ 16GB/SSD 512G/Windows 11 Home/WPS Office 2 Standard Edition/ホワイト],"￥159,800"
レノボ･ジャパン Lenovo,F0GH0188JP [一体型デスクトップパソコン IdeaCentre AIO 370i/23.8型/Core i5-13420H/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home＆Business 2021/ブラック],"￥165,330"
マウスコンピューター mouse computer,LHI5U01YC61DNHB3 [ビジネス向けデスクトップパソコン/Core i5-14400/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥134,800"
HP,892V5PA-AAAR [デスクトップパソコン/HP Desktop M01-F2000 G1モデル/Core i3-12100/メモリ 8GB/SSD 256GB/Windows 11 Home/ジェットブラック],"￥87,800"
デル DELL,AI759-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥169,800"
エイスース ASUS,PN42-SN044AU [超小型ミニパソコン/Intel N100/メモリ 4GB/SSD 128GB/Windows 11 Pro/ブラック],"￥47,790"
デル DELL,AI779T-DNLWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/パールホワイト],"￥199,800"
エイスース ASUS,PN64-S3301AD [超小型ミニパソコン/Core i3-1220P/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥81,800"
デル DELL,SI50-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥135,670"
エイスース ASUS,PN64-S7303AD [超小型ミニパソコン/Core i7-13700H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥150,800"
レノボ･ジャパン Lenovo,90VT0059JP [デスクトップパソコン IdeaCentre 3i Gen8/Corei5-13400/メモリ 8GB（4GB×2）/SSD 512GB/Windows11 Home/Office Home ＆ Business 2021/グレー],"￥136,180"
ミニスフォーラム MINISFORUM,UM790-32/1TB-W11Pro（7940HS） [ミニPC/Ryzen 9 7940HS/メモリ 32GB/SSD 1TB/Windows 11 Pro/ブラック],"￥149,970"
デル DELL,SI30-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i3-13100/UHD グラフィックス/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥113,030"
レノボ･ジャパン Lenovo,90VT0059JP [デスクトップパソコン IdeaCentre 3i Gen8/Corei5-13400/メモリ 8GB（4GB×2）/SSD 512GB/Windows11 Home/Office Home ＆ Business 2021/グレー],"￥136,180"
デル DELL,SI50-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ブラック],"￥121,800"
ミニスフォーラム MINISFORUM,UN100L/V-16/256-W11Pro（N100） [ミニパソコン/N100/メモリ 16GB/SSD 256GB/Windows 11 Pro/シルバー],"￥44,280"
ミニスフォーラム MINISFORUM,NAB0-32/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥114,800"
デル DELL,AI779T-DNHBBC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥219,800"
マイクロソフト Microsoft,SBF-00009 [Surface Studio 2+（サーフェス スタジオ 2プラス）/28インチ PixelSense/Core i7/メモリ 32GB/SSD 1TB/GeForce RTX 3060 Laptop GPU/Windows 11 Pro/Office Home and Business 2021/プラチナ],"￥719,180"
ミニスフォーラム MINISFORUM,UM773XTX-16/512-W11Pro（7735HS） [ミニPC/Ryzen 7 7735HS/メモリ 16GB/SSD 512GB/Windows 11 Pro/ブラック],"￥88,510"
ミニスフォーラム MINISFORUM,UM780W-32/1T-W11Pro（7840HS） [ミニパソコン/Ryzen7 7840HS/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥144,730"
アイ･オー･データ機器 I-O DATA,MPC-LVZ2 [小型デスクトップパソコン/Intel Pentium Silver N5030/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise搭載],"￥65,640"
デル DELL,AI557-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥144,800"
デル DELL,DX70-DNLC [XPS 8960 デスクトップ/Core i7-13700/GeForce RTX 3050/メモリ 16GB/SSD 512GB+HDD 2TB/Windows 11 Home/プラチナシルバー],"￥279,800"
エイスース ASUS,M3402WFAK-WA054W [デスクトップパソコン/23.8型/Ryzen 5 7520U/メモリ 16GB/SSD 512G/Windows 11 Home/WPS Office 2 Standard Edition/ホワイト],"￥149,800"
エイスース ASUS,PN53-S7099AD [超小型ミニパソコン/Ryzen 7 7735H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥125,800"
レノボ･ジャパン Lenovo,90SM0063JP [デスクトップPC/ IdeaCentre 370i / Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥104,280"
